Queen of Brexit;Scooby Dam;FAILED;04:55
Parry Hotter;Al Capone;DONE;06:06
Bill Gates;Parry Hotter;FAILED;04:36
Lil Shiftkey;Mr. Trumpet;CANCELLED;00:59
Donald Truck;Mr. Trumpet;DONE;00:15
Queen of Brexit;Scooby Dam;BOSSDIDIT;00:37
Mr. Trumpet;Lil Shiftkey;CANCELLED;03:16
Scooby Dam;Parry Hotter;CANCELLED;00:56
Lil Shiftkey;Elon Musk;CANCELLED;00:07
Mr. Trumpet;Elon Musk;CANCELLED;00:03
Mr. Trumpet;Elon Musk;DONE;02:33
Scooby Dam;Donald Truck;FAILED;02:29
Parry Hotter;Al Capone;BOSSDIDIT;06:17
Mr. Trumpet;Bill Gates;DONE;01:58
Lil Shiftkey;Porschet;FAILED;02:34
Elon Musk;Queen of Brexit;FAILED;01:08
Parry Hotter;Al Capone;BOSSDIDIT;00:51

